name,lat,long,img,distance,url,props,eparhia,mitropolia,boss,type,founded
"Свято-Благовещенский женский монастырь, г. Слоним Новогрудской епархии",53.110637998532,25.331999534393,/upload/iblock/800/800d4ccd432c023549099394d932be87/38ce97901001a46590078659f4645fe1.jpg,846,/monastyri/monastery/svyato-blagoveshchenskiy-zhenskiy-monastyr-g-slonim-novogrudskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Белорусской Православной Церкви', 'founded': '2001'}",,,,,
 Благовещенский пещерный мужской монастырь на Мангупе  ,44.590191082819,33.803077579203,/upload/iblock/bd4/bd4bb46d539ce780b98f7b190c58ba53/01.jpg,1271,/monastyri/monastery/blagoveshchenskiy-peshchernyy-muzhskoy-monastyr-na-mangupe-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
 Благовещенское подворье  Апшеронского женского монастыря в честь иконы Божией Матери «Нерушимая стена» ,45.023991764472,38.968269550262,/upload/iblock/e91/e91ce78ca80b6fb0d29ffdc51c530901/nn.jpg,1198,/monastyri/monastery/blagoveshchenskoe-podvore-apsheronskogo-zhenskogo-monastyrya-v-chest-ikony-bozhiey-materi-nerushimaya/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'подворье епархиального монастыря', 'founded': '2015'}",,,,,
 Богородицкая  Площанская пустынь,52.521237942828,34.46964086113,/upload/iblock/e60/e6085c0ac2bd376fe46db78d77a1dfb2/1.jpg,414,/monastyri/monastery/bogoroditskaya-ploshchanskaya-pustyn/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1620'}",,,,,
"Свято-Богоявленский Кутеинский мужской монастырь, г. Орша Витебской епархии",54.492154728587,30.412403108459,/upload/iblock/c87/c87ae31f955639a20f7b33a29a08aa2d/28691804c58807da9d8b74d4b9f96d9d.jpg,479,/monastyri/monastery/svyato-bogoyavlenskiy-kuteinskiy-muzhskoy-monastyr-g-orsha/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Белорусской Православной Церкви', 'founded': '1620'}",,,,,
Свято-Варваринский женский монастырь  во имя блаженной Варвары Скворчихинской  деревни Скворчиха,53.320889,56.136832,/upload/iblock/cf0/vwbbv8p9ph40bxvzrfjdrto8del09sa2/IMG_6889_700x400.jpg,1221,/monastyri/monastery/svyato-varvarinskiy-zhenskiy-monastyr-vo-imya-blazhennoy-varvary-skvorchikhinskoy-derevni-skvorchikh/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '2020'}",,,,,
Свято-Варваринский женский монастырь Пинской епархии,52.113866260197,26.101634374344,/upload/iblock/d57/d571d6de5392725d8d65b8b0fd8e2a5c/8420cda257bd61f29d58cd4849d01111.jpg,855,/monastyri/monastery/svyato-varvarinskiy-zhenskiy-monastyr-pinskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Белорусской Православной Церкви', 'founded': ''}",,,,,
Свято-Васильевский Овручский женский монастырь Овручской епархии,51.31531,28.799841,/upload/iblock/76e/uw0hkrjf0pswt4e3yubpihjf8z8zoh4b/Svyato_Vasilevskiy_zhenskiy_monastyr.jpg,763,/monastyri/monastery/svyato-vasilevskiy-ovruchskiy-zhenskiy-monastyr-ovruchskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2017'}",,,,,
 Великомученика Георгия Победоносца мужской монастырь у мыса Фиолент  ,44.504983052267,33.51038720734,/upload/iblock/d86/d86626df561b9dd73ee4a5ec2e742a6e/mon.jpg,1285,/monastyri/monastery/velikomuchenika-georgiya-pobedonostsa-muzhskoy-monastyr-u-mysa-fiolent-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '891'}",,,,,
Свято-Георгиевский женский монастырь Уманской епархии,48.686976394878,30.148559359963,/upload/iblock/fd6/gc8hi4stxtdm19advrusftfixhf7r0u4/00.jpg,936,/monastyri/monastery/svyato-georgievskiy-zhenskiy-monastyr-umanskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': ''}",,,,,
Свято-Георгиевский скит Вознесенского мужского монастыря Бориспольской епархии,50.305154753857,29.588675364236,/upload/iblock/6d5/me7fhzsgqui27nv8cubj79rmif3sqavm/foto-otsutstvuet.jpg,809,/monastyri/monastery/svyato-georgievskiy-skit-voznesenskogo-muzhskogo-monastyrya-borispolskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'скит епархиального монастыря', 'founded': '2011'}",,,,,
Женский монастырь в честь иконы Божией Матери «Державная»   п. Изобильное,54.766494550772,21.174742949707,/upload/iblock/e5c/e5c0645947616665b53f1dc996ea6b3c/i_300x300.png,1046,/monastyri/monastery/zhenskiy-monastyr-v-chest-ikony-bozhiey-materi-derzhavnaya-p-izobilnoe/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '2009'}",,,,,
 Иверский Валдайский мужской монастырь,57.989230826767,33.304118070612,/upload/iblock/7fa/7fa810e352ad6a35d2ae187cf5d9073a/1.jpg,361,/monastyri/monastery/iverskiy-valdayskiy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
 Инунденский Всехскорбященский мужской монастырь Кишиневской епархии,48.130998,28.353347,/upload/iblock/e55/sg9gbshgm9kaj7g1jh3cws658907e3cc/IMG_0554.jpg,1058,/monastyri/monastery/inundenskiy-vsekhskorbyashchenskiy-muzhskoy-monastyr-kishinevskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Православной Церкви Молдовы', 'founded': '2005'}",,,,,
Свято-Иоанно-Предтеченский мужской монастырь Луганской епархии ,48.917385800091,39.641259875566,/upload/iblock/fae/9ihs26w865mm5s89090wj3xc9elpkkxl/03.jpg,773,/monastyri/monastery/svyato-ioanno-predtechenskiy-muzhskoy-monastyr-luganskoy-eparkhii-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2007'}",,,,,
 Мужской монастырь святых первоверховных апостолов Петра и Павла в г. Светлограде,45.313660638233,42.847386228836,/upload/iblock/467/46764c6ff0311841f6b925089c0a586d/vagQk_FA9Z4.jpg,1218,/monastyri/monastery/muzhskoy-monastyr-svyatykh-pervoverkhovnykh-apostolov-petra-i-pavla-v-g-svetlograde/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '2019'}",,,,,
